,annotation,GRNTI
0,"Рассматриваются аспекты и параметры алгоритма полуглобального стереосопоставления, к которым возможно применение оптимизации с целью уменьшения количества выполняемых операций и увеличения количества кадров карты диспаратностей, генерируемых алгоритмом в единицу времени. Приводятся два возможных способа увеличения производительности, их недостатки и достоинства, результаты выполнения стереоалгоритма с применением данных способов на тестовых данных, а также сравнительный анализ величин ошибочно вычисленных диспаратностей.",50. Автоматика. Вычислительная техника
1,"Преодолена итерационная процедура решения транспортной задачи, в которой спрос на товар является случайной величиной и известна плотность распределения. Полученный в результате план транспортировки минимизирует суммарную стоимость перевозок, а также затраты на хранение и штраф за дефицит товара.",73. Транспорт
2,"Статья посвящена рассмотрению методов управления экологическим риском как средства улучшения природоохранной деятельности. Рассмотрены виды экологического риска, методы оценки и прогнозирования экологических рисков промышленных предприятий.",06. Экономика. Экономические науки
3,"Впервые используется теорема Геделя о неполноте при идентификации структуры стали. Для частичного устранения неполноты утверждения о возможной самоорганизации системы неживой природы, разновидности металлов, применяется принцип внешнего дополнения Бира",27.43. Математика / Теория вероятностей и математическая статистика
4,"В 1880-1892 гг. в Якутской области в политической ссылке побывал польский писатель и этнограф В.Л. Серошевский. В 1896 г. он издал монографию «Якуты. Опыт этнографического исследования» - энциклопедический труд по этнографии якутов конца XIX в. В нем он одним из первых обратил внимание героическому эпосу (олонхо) якутов, выделил его из жанров устного народного творчества, описал искусство олонхосутов (сказителей), предположил южно-сибирское происхождение якутского эпоса, отметил его общекультурное значение. Многие положения и выводы этнографа используются в якутском эпосоведении по сей день.",03.61. История. Исторические науки / Этнография и историческая антропология
5,Статья посвящена разработке модели и алгоритма решения задачи оптимизации многомерных параметрических рядов в интересах внедрения новых технических и технологических решений в перспективные образцы высокоточного оружия.,78. Военное дело
6,Рассматривается методический подход к оценке уровня угрозы возникновения функционального несоответствия при исполь- зовании информационной системы по совокупности отношений целевого назначения и отношений реализуемости.,50. Автоматика. Вычислительная техника
7,"В нашей работе для описания пластической деформации предлагается фильтрационный подход. Он получил широкое распространение в гидромеханике при изучении водонасыщенных грунтов, газовзвесей, суспензий и т.п. Такие системы моделируются двумя континуумами, то есть фазы фиктивно размазываются по всему объему, а их взаимодействие осуществляется путем обмена импульсом, массой, энергией и т.п.",29.19. Физика / Физика твердых тел
8,В статье рассматривается разработка базы данных информационно-аналитической системы для мониторинга состояния окружающей среды техногенных ландшафтов и прогнозирования сроков восстановления их биологической продуктивности.,87.15. Охрана окружающей среды. Экология человека / Загрязнение окружающей среды. Контроль загрязнения
9,"Исследуется влагосодержание поверхностного слоя почвы, определяемого на метеорологических станциях, с использованием спутника MetOp. Выбраны станции, находящиеся на территории США и входящие в наблюдательную сеть AmeriFlux. Станции расположены в различных климатических зонах, выделенных по типу растительности, согласно классификации IGBP. Период исследований - 2007-2012 гг. Оценка выполнена для различных типов подстилающих поверхностей. Данные спутниковых наблюдений приведены к прямым измерениям, проведена оценка точности измерений. Показана хорошая согласованность с реальными данными прямых измерений влажности, что позволяет использовать данные спутниковых измерений влажности почвы в системах усвоения данных для численных моделей прогноза погоды. Результаты могут быть использованы и для территории России с аналогичными подстилающими поверхностями.",37.21. Геофизика / Метеорология
10,"В работе представлены новые антибактериальные свойства гелей оксигидратов d- и f-элементов на фоне включений углерода. Антимикробную активность гелей оксигидратов циркония, железа, алюминия и иттрия можно использовать в антибактериальных бинтах нового поколения, в процессах водоподготовки и водоочистки. Отмечены следующие преимущества антибактериальных бинтов на основе оксигидратов железа и алюминия: нанокластерное антибактериальное воздействие ощутимо через 50 мин; погибает вся патогенная микрофлора; адсорбирующее, впитывающее, очищающее, дезодорирующее гелевое воздействие.",31. Химия
11,"Одноразовый амперометрический биосенсор молочной кислоты был сконструирован на основе иммобилизации фермента лактатдегидрогеназы (ЛДГ) и ее кофактора никотинамидадениндинуклеотида (НАД) с использованием мембраны из ацетата целлюлозы (ЦА), отлитой in situ. Эти компоненты наносили на угольный электрод, напечатанный трафаретной печатью, содержащий 2% Meldola's Blue (по весу углерода). Конструкция сенсора была оптимизирована, окончательный биосенсор содержал 10 ед. ЛДГ, 60 мкг НАД+ и использовал мембрану, отлитую из 1% раствора СА. Установлено, что оптимальным раствором для измерения лактата является 0,5 моль дм-3 фосфатного буфера, рН 8. Оптимальная температура 32°С. Было обнаружено, что относительное стандартное отклонение для одной партии электродов составляет 8,7%.",31. Химия
12,"Разработан биферментный электрод на основе усиления сигнала, позволяющий определять пико- и наномолярные концентрации п-аминофенола. Активный элемент датчика состоит из совместно иммобилизованных ферментов лакказы и глюкозодегидрогеназы, соединенных с кислородным электродом. Лакказа катализирует окисление п-аминофенола кислородом с образованием п-иминохинона. Последний восстанавливается избытком глюкозы в присутствии глюкозодегидрогеназы и приводит к рециркуляции субстрата. Обнаружение осуществляется путем измерения снижения концентрации кислорода. Предел обнаружения п-аминофенола составляет 100 пМ. Показана возможность определения ряда других субстратов (полифенолов, полиаминов, производных ферроцена) в наномолярном диапазоне. Значительный фоновый сигнал был обнаружен для п-аминофенилфосфата. Этот фон, вероятно, обусловлен способностью лакказы катализировать окислительное дефосфорилирование. В присутствии фосфат-ионов этот фон практически полностью устраняется. 50 пМ щелочной фосфатазы можно было определить после 2-минутной инкубации в растворе п-аминофенилфосфата по определению образующегося в результате гидролиза п-аминофенола. Время всего анализа не превышает 5 мин. Новая методика пригодна для применения в иммуноферментных анализах на основе щелочной фосфатазы.",31. Химия
